Date,Time,Indoor Temperature F,Indoor Humidity %,Outdoor Temperature F,Outdoor Humidity %,Wind Speed(mph),wind direction(Degree),Light Intensity,UV index,Daily Rainfall accumulation,Total Accumulative Rainfall,Strike Count now, Daily Strike Count,Total Strike Count,Closet Strike distance,Interference,barometric Pressure(real),Calibrated barometric Pressure,Dew Point,Rain Rate,wind gust,Wind Speed average,Feels like,Heat Index,Wind Chill, 
20210216,0:12:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:12:30,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:12:40,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:12:50,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:13:00,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:13:10,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:13:20,71,50,76.8,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:13:30,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:13:40,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:13:50,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:14:00,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:14:10,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:14:20,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
20210216,0:14:30,71,50,76.9,41,0,99,0,0,0,0,--       ,0,--       ,0,--       ,29.72,30.11,49,0,0,0,76,--       ,--       , 
