Subspecies,iNat_Obs,Source,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis madagascariensis
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis ogilviei
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis otavica
,,NCBI,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis sp. 1 JRL-2012
,,ITIS,Megachilidae,Megachilinae,Anthidiini,,Afrostelis,,Afrostelis tegularis
,,ITIS,Apidae,Apinae,Eucerini,Eucerina,Agapanthinus,,Agapanthinus callophilus
,,NCBI,Apidae,Apinae,Eucerini,,Agapanthinus,,Agapanthinus callophilus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon aenigma
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon alayoi
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon angelicus
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon angelicus
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon angelicus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon ascius
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon atrocaeruleus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon boliviensis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon centratus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon chapadensis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon chiriquiensis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon coloradinus
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon coloradinus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon columbi
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon cubensis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon cyaneus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon erebus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon femoratus
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon femoratus
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon femoratus
,,Sheffield&Heron,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon femoratus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon heterurus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon inca
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon insularis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon intermedius
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon jamaicensis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon kohliellus
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon kohliellus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon krugii
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon lanosus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon leunculus
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon leunculus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon melliventris
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon melliventris
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon mexicanus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon mourei
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon nasutus
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Notagapostemon,Agapostemon nasutus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon obliquus
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon obliquus
,,Sheffield&Heron,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon obliquus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon obscuratus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon ochromops
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon peninsularis
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon poeyi
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon poeyi
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon rhopalocerus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sapphirinus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon semimelleus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sericeus
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sericeus
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon sericeus
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sp. BOLD:AAB0974
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sp. BOLD:AAM7374
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sp. HYMN 0182.02
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon sp. UAIC 1129427
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon splendens
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon splendens
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon splendens
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon swainsonae
,326,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon texanus
,326,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon texanus
,326,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon texanus
,326,Sheffield&Heron,HALICTIDAE,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon texanus
,,ITIS,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon tyleri
,,NCBI,Halictidae,Halictinae,Halictini,,Agapostemon,,Agapostemon tyleri
,,Bug_Guide,Halictidae,Halictinae,Halictini,,Agapostemon,Agapostemon,Agapostemon tyleri
