Subspecies,iNat_Obs,Family,Subfamily,Tribe,Subtribe,Genus,Subgenus,Species
,1860,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus flavifrons
,24,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus frigidus
,197,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus huntii
,2110,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus impatiens
,,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus jonellus
,2481,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus melanopygus
,1854,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus mixtus
,35,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus perplexus
,523,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus sitkensis
,18,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus sylvicola
,158,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus ternarius
Bombus vagans vagans,,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus vagans
,3,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus vandykei
,2232,APIDAE,Apinae,Bombini,,Bombus,Pyrobombus,Bombus vosnesenskii
,195,APIDAE,Apinae,Bombini,,Bombus,Subterraneeobombus,Bombus appositus
,5,APIDAE,Apinae,Bombini,,Bombus,Subterraneeobombus,Bombus borealis
,40,APIDAE,Apinae,Bombini,,Bombus,Thoracobombus,Bombus fervidus
,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera acerba
,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera actuosa
,1,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera cordleyi
,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera douglasiana
,1,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera edwardsii
Eucera frater lata,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera frater
Eucera fulvitarsis fulvitarsis,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera fulvitarsis
,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera hirsutissima
,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera hurdi
,,APIDAE,Apinae,Eucerini,,Eucera,Synhalonia,Eucera virgata
,1,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes agilis
,4,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes bimatris
,,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes lutulentus
,,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes menuachus
,99,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes microstictus
,,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes pallidisignatus
,,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes saponellus
,,APIDAE,Apinae,Eucerini,,Melissodes,Eumelissodes,Melissodes semilupinus
,1,APIDAE,Apinae,Eucerini,,Melissodes,Heliomelissodes,Melissodes rivalis
Melissodes communis alopex,,APIDAE,Apinae,Eucerini,,Melissodes,Melissodes,Melissodes communis
Melecta pacifica fulvida,,APIDAE,Apinae,Melectini,,Melecta,Melecta,Melecta pacifica
Melecta pacifica pacifica,,APIDAE,Apinae,Melectini,,Melecta,Melecta,Melecta pacifica
Melecta separata callura,,APIDAE,Apinae,Melectini,,Melecta,Melecta,Melecta separata
,,APIDAE,Apinae,Melectini,,Melecta,Melecta,Melecta thoracica
,,APIDAE,Apinae,Melectini,,Xeromelecta,Melectomorpha,Xeromelecta californica
Neopasites aff. fulviventris,,APIDAE,Nomadinae,Biastini,,Neopasites,,Neopasites aff.
,6,APIDAE,Nomadinae,Emphorini,,Diadasia,,Diadasia australis
,3,APIDAE,Nomadinae,Emphorini,,Diadasia,,Diadasia diminuta
,1,APIDAE,Nomadinae,Epeolini,,Epeolus,,Epeolus americanus
,1,APIDAE,Nomadinae,Epeolini,,Epeolus,,Epeolus compactus
,2,APIDAE,Nomadinae,Epeolini,,Epeolus,,Epeolus minimus
,26,APIDAE,Nomadinae,Epeolini,,Epeolus,,Epeolus olympiellus
,,APIDAE,Nomadinae,Epeolini,,Triepeolus,,Triepeolus occidentalis
,8,APIDAE,Nomadinae,Epeolini,,Triepeolus,,Triepeolus paenepectoralis
,,APIDAE,Nomadinae,Epeolini,,Triepeolus,,Triepeolus subalpinus
,,APIDAE,Nomadinae,Epeolini,,Triepeolus,,Triepeolus texanus
,,APIDAE,Nomadinae,Nomadini,,Nomada,,Nomada aldrichi
