"Subspecies","iNat_Obs","Source","Family","Subfamily","Tribe","Subtribe","Genus","Subgenus","Species"
,1,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus sandersoni"
,523,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus sitkensis"
,523,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus sitkensis"
,1,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus suckleyi"
,1,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Psithyrus","Bombus suckleyi"
,18,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus sylvicola"
,18,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus sylvicola"
,158,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus ternarius"
,158,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus ternarius"
,141,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus terricola"
,141,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Bombus","Bombus terricola"
,449,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus vagans"
,2087,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus vancouverensis"
,3,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus vandykei"
,3,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus vandykei"
,2232,"ITIS","Apidae","Apinae","Bombini",,"Bombus",,"Bombus vosnesenskii"
,2232,"Sheffield&Heron","APIDAE","Apinae","Bombini",,"Bombus","Pyrobombus","Bombus vosnesenskii"
,3,"ITIS","Apidae","Xylocopinae","Ceratinini",,"Ceratina",,"Ceratina acantha"
,3,"Sheffield&Heron","APIDAE","Xylocopinae","Ceratinini",,"Ceratina","Zandontomerus","Ceratina acantha"
,47,"ITIS","Megachilidae","Megachilinae","Megachilini",,"Coelioxys",,"Coelioxys rufitarsis"
,47,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Megachilini",,"Coelioxys","Boreocoelioxys","Coelioxys rufitarsis"
,1,"ITIS","Colletidae","Colletinae",,,"Colletes",,"Colletes fulgidus"
,1,"ITIS","Colletidae","Colletinae",,,"Colletes",,"Colletes kincaidii"
,1,"Sheffield&Heron","COLLETIDAE","Colletinae","Colletini",,"Colletes",,"Colletes kincaidii"
,6,"ITIS","Apidae","Apinae","Emphorini","Emphorina","Diadasia",,"Diadasia australis"
,6,"Sheffield&Heron","APIDAE","Nomadinae","Emphorini",,"Diadasia",,"Diadasia australis"
,3,"ITIS","Apidae","Apinae","Emphorini","Emphorina","Diadasia",,"Diadasia diminuta"
,3,"Sheffield&Heron","APIDAE","Nomadinae","Emphorini",,"Diadasia",,"Diadasia diminuta"
,154,"ITIS","Megachilidae","Megachilinae","Anthidiini",,"Dianthidium",,"Dianthidium subparvum"
,154,"Sheffield&Heron","MEGACHILIDAE","Megachilinae","Osmiini",,"Dianthidium","Dianthidium","Dianthidium subparvum"
,1,"ITIS","Halictidae","Rophitinae",,,"Dufourea",,"Dufourea dilatipes"
,1,"Sheffield&Heron","HALICTIDAE","Rophitinae",,,"Dufourea",,"Dufourea dilatipes"
,4,"ITIS","Halictidae","Rophitinae",,,"Dufourea",,"Dufourea holocyanea"
,4,"Sheffield&Heron","HALICTIDAE","Rophitinae",,,"Dufourea",,"Dufourea holocyanea"
,4,"ITIS","Halictidae","Rophitinae",,,"Dufourea",,"Dufourea maura"
,4,"Sheffield&Heron","HALICTIDAE","Rophitinae",,,"Dufourea",,"Dufourea maura"
,2,"ITIS","Halictidae","Rophitinae",,,"Dufourea",,"Dufourea trochantera"
